id,userSeq,orderdetailSeq,itemCode,status,method,count,incomeImage,additionalImage,stainImageOne,stainImageTwo,stainImageThree,stainInfoOne,stainInfoTwo,stainInfoThree,storeLocation,machid,careLabel,sortCat,sortItem,sortColor,sortTexture,deliveryInfo,inspectionMemo,ngMemo,afterCheckMemo,masterComment,confirmYN,passYN,createDate,updateDate
0150734288,1806,678,20139,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734288_20230523105205_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734288_20230523105205_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,아우터,봄가을코트,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:50:30","2023-05-24 15:32:56"
0150734397,1806,679,20140,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734397_20230523105104_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734397_20230523105104_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,주요품목,맨투맨/후드,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:50:30","2023-05-24 15:32:56"
0150734406,1539,680,20141,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734406_20230523110258_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734406_20230523110258_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734406_20230523110258_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734406_20230523110258_4.jpg,,"
손상","
손상",,77,NULL,NULL,아우터,기능성의류,어두운색,옷프린팅,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:45","2023-05-24 16:12:39"
0150734515,1539,681,20142,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734515_20230523110104_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734515_20230523110104_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734515_20230523110104_3.jpg,,,"
손상",,,77,NULL,NULL,주요품목,티셔츠,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:45","2023-05-24 16:12:40"
0150734624,1539,682,20143,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734624_20230523105931_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,NULL,하의/드레스,원피스,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:45","2023-05-24 16:12:40"
0150734733,1539,683,20144,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734733_20230523105836_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734733_20230523105836_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734733_20230523105836_3.jpg,,,"
손상",,,77,NULL,NULL,아우터,기능성의류,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:46","2023-05-24 16:12:40"
0150734842,1539,684,20145,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734842_20230523105730_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,NULL,주요품목,점퍼,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:46","2023-05-24 16:12:40"
0150734951,1539,685,20146,500,1,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150734951_20230523105741_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,NULL,주요품목,부속품,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 10:56:46","2023-05-24 16:12:40"
0150735078,1982,686,20147,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735078_20230523110955_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735078_20230523110955_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,주요품목,니트/스웨터,밝은색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 11:03:02","2023-05-24 13:14:52"
0150735187,1982,687,20148,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735187_20230523110743_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735187_20230523110743_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,주요품목,점퍼,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 11:03:02","2023-05-24 13:14:52"
0150735296,1982,688,20149,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735296_20230523110704_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735296_20230523110704_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,주요품목,니트/스웨터,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 11:03:03","2023-05-24 13:14:52"
0150735305,1982,689,20150,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735305_20230523110627_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735305_20230523110627_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,주요품목,니트/스웨터,밝은색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 11:03:03","2023-05-24 13:14:52"
0150735414,1982,690,20151,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735414_20230523110556_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735414_20230523110556_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,주요품목,니트/스웨터,어두운색,,세탁공장,NULL,,NULL,NULL,Y,N,"2023-05-23 11:03:04","2023-05-24 13:14:52"
0150735523,1960,691,20152,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735523_20230523111102_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735523_20230523111102_3.jpg,,,"
손상",,,79,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,NULL,,NULL,NULL,Y,N,"2023-05-23 11:06:23","2023-05-24 13:36:41"
0150735632,1960,692,20153,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735632_20230523111132_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,NULL,,NULL,NULL,Y,N,"2023-05-23 11:06:23","2023-05-24 13:36:41"
0150735741,1960,694,20155,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735741_20230523110854_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,주요품목,니트/스웨터,어두운색,,복지관,NULL,,NULL,NULL,Y,N,"2023-05-23 11:06:24","2023-05-24 13:36:41"
0150735850,1960,693,20154,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735850_20230523110926_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,NULL,,NULL,NULL,Y,N,"2023-05-23 11:06:24","2023-05-24 13:36:41"
0150735959,1960,695,20156,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735959_20230523110829_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150735959_20230523110829_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,주요품목,니트/스웨터,밝은색,,복지관,NULL,,NULL,NULL,Y,N,"2023-05-23 11:06:24","2023-05-24 13:36:42"
0150736086,1979,864,20325,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736086_20230523152007_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,하의/드레스,스커트,밝은색,,세탁공장,세탁불가,,NULL,NULL,Y,N,"2023-05-23 14:45:02","2023-05-25 09:52:50"
0150736195,1979,865,20326,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736195_20230523151923_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,주요품목,겨울코트,어두운색,,세탁공장,세탁불가,,NULL,NULL,Y,N,"2023-05-23 14:45:02","2023-05-25 09:52:50"
0150736204,1979,866,20327,500,9,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736204_20230523144858_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736204_20230523144858_3.jpg,,,"
얼룩",,,33,NULL,NULL,주요품목,겨울코트,밝은색,,세탁공장,세탁불가,,NULL,NULL,Y,N,"2023-05-23 14:45:02","2023-05-25 09:52:50"
0150736313,1979,867,20328,500,9,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736313_20230524080551_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736313_20230524080551_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736313_20230524080551_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736313_20230524080551_4.jpg,,"
손상","
손상",,33,NULL,NULL,주요품목,다운패딩,어두운색,,세탁공장,세탁불가,,NULL,NULL,Y,N,"2023-05-23 14:45:03","2023-05-25 09:52:50"
0150736422,1979,868,20329,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736422_20230523144932_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,주요품목,겨울코트,어두운색,,세탁공장,세탁불가,,NULL,NULL,Y,N,"2023-05-23 14:45:03","2023-05-25 09:52:50"
0150736531,1890,976,20437,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736531_20230523164718_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736531_20230523164718_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,주요품목,정장상의,어두운색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:40:09","2023-05-24 15:22:08"
0150736640,1890,977,20438,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736640_20230523164653_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736640_20230523164653_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,주요품목,정장하의,어두운색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:40:09","2023-05-24 15:22:08"
0150736749,1890,978,20439,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736749_20230523164320_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736749_20230523164320_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,주요품목,점퍼,어두운색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:40:09","2023-05-24 15:22:09"
0150736858,1890,979,20440,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736858_20230523164238_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,주요품목,정장상의,어두운색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:40:10","2023-05-24 15:22:09"
0150736967,1890,980,20441,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150736967_20230523164202_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,주요품목,정장하의,어두운색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:40:10","2023-05-24 15:22:09"
0150737094,1517,981,20442,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737094_20230523164607_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737094_20230523164607_3.jpg,,,"
얼룩",,,61,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:42:50","2023-05-24 16:12:44"
0150737103,1517,982,20443,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737103_20230523164511_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:42:50","2023-05-24 16:12:45"
0150737212,1517,983,20444,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737212_20230523164453_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737212_20230523164453_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737212_20230523164453_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737212_20230523164453_4.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737212_20230523164453_5.jpg,"
얼룩","
얼룩","
얼룩",61,NULL,NULL,주요품목,셔츠/남방,밝은색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:42:51","2023-05-24 16:12:45"
0150737321,1517,984,20445,500,1,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737321_20230523164400_1.jpg,,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,주요품목,바지,밝은색,,복지관,세탁불가,,NULL,NULL,Y,N,"2023-05-23 16:42:51","2023-05-24 16:12:45"
0150737430,2063,1036,20549,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737430_20230525130933_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737430_20230525130933_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,주요품목,니트/스웨터,밝은색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-25 13:02:46","2023-05-26 09:08:39"
0150737539,2063,1037,20550,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737539_20230525130755_1.jpg,,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737539_20230525130755_3.jpg,,,"
얼룩",,,73,NULL,NULL,주요품목,가디건,밝은색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-25 13:02:46","2023-05-26 09:08:40"
0150737648,2063,1038,20551,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737648_20230525130903_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737648_20230525130903_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,주요품목,니트/스웨터,밝은색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-25 13:02:47","2023-05-26 09:08:40"
0150737757,2063,1130,20737,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737757_20230531102251_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737757_20230531102251_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737757_20230531102251_3.jpg,,,"
얼룩",,,17,NULL,NULL,주요품목,정장하의,밝은색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-31 10:14:58","2023-06-01 13:15:17"
0150737866,2063,1131,20738,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737866_20230531102143_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737866_20230531102143_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737866_20230531102143_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737866_20230531102143_4.jpg,,"
얼룩","
얼룩",,17,NULL,NULL,주요품목,바지,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-31 10:14:58","2023-06-01 13:15:17"
0150737975,2063,1132,20739,500,4,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737975_20230601084514_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737975_20230601084514_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150737975_20230601084514_3.jpg,,,"
손상",,,17,NULL,NULL,하의/드레스,원피스,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-31 10:14:58","2023-06-01 13:15:18"
0150738002,2063,1133,20740,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738002_20230531101822_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738002_20230531101822_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,주요품목,셔츠/남방,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-31 10:14:59","2023-06-01 13:15:18"
0150738111,2063,1134,20741,500,3,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738111_20230531101708_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738111_20230531101708_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,주요품목,셔츠/남방,밝은색,,세탁공장,,,NULL,NULL,Y,N,"2023-05-31 10:14:59","2023-06-01 13:15:18"
0150738220,1539,1268,21015,500,8,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738220_20230612102442_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738220_20230612102442_2.jpg,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,NULL,주요품목,셔츠/남방,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-06-12 09:09:07","2023-06-13 14:12:29"
0150738329,1539,1269,21016,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738329_20230612103115_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738329_20230612103115_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738329_20230612103115_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738329_20230612103115_4.jpg,,"
얼룩","
얼룩",,58,NULL,NULL,주요품목,기능성의류,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-06-12 09:09:08","2023-06-13 14:12:29"
0150738438,1539,1270,21017,500,5,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738438_20230612091152_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738438_20230612091152_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738438_20230612091152_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738438_20230612091152_4.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738438_20230612091152_5.jpg,"
얼룩","
얼룩","
얼룩",58,NULL,NULL,주요품목,정장하의,어두운색,,세탁공장,,,NULL,NULL,Y,N,"2023-06-12 09:09:08","2023-06-13 14:12:29"
0150738656,1670,1336,21126,500,2,0,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738656_20230614102803_1.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738656_20230614102803_2.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738656_20230614102803_3.jpg,https://lsolution-data-storage.s3.ap-northeast-2.amazonaws.com/incomeImage/0150738656_20230614102803_4.jpg,,"
손상","
손상",,77,NULL,NULL,주요품목,바지,어두운색,,연구동,,,NULL,NULL,Y,N,"2023-06-14 10:24:46","2023-06-15 14:05:52"
